year,age,sex,people
2010,0,1,359
2010,5,1,359
2010,10,1,390
2010,15,1,433
2010,20,1,330
2010,25,1,270
2010,30,1,272
2010,35,1,290
2010,40,1,304
2010,45,1,438
2010,50,1,423
2010,55,1,407
2010,60,1,306
2010,65,1,255
2010,70,1,221
2010,75,1,112
2010,80,1,68
2010,85,1,52
2010,0,2,387
2010,5,2,346
2010,10,2,381
2010,15,2,427
2010,20,2,369
2010,25,2,305
2010,30,2,330
2010,35,2,316
2010,40,2,404
2010,45,2,507
2010,50,2,495
2010,55,2,423
2010,60,2,373
2010,65,2,288
2010,70,2,222
2010,75,2,184
2010,80,2,118
2010,85,2,135
2011,0,1,367
2011,5,1,340
2011,10,1,399
2011,15,1,374
2011,20,1,415
2011,25,1,292
2011,30,1,296
2011,35,1,256
2011,40,1,292
2011,45,1,386
2011,50,1,404
2011,55,1,420
2011,60,1,295
2011,65,1,245
2011,70,1,211
2011,75,1,128
2011,80,1,69
2011,85,1,46
2011,0,2,353
2011,5,2,345
2011,10,2,367
2011,15,2,398
2011,20,2,429
2011,25,2,283
2011,30,2,353
2011,35,2,286
2011,40,2,385
2011,45,2,458
2011,50,2,494
2011,55,2,415
2011,60,2,360
2011,65,2,288
2011,70,2,238
2011,75,2,175
2011,80,2,129
2011,85,2,126
2012,0,1,360
2012,5,1,320
2012,10,1,383
2012,15,1,367
2012,20,1,385
2012,25,1,300
2012,30,1,290
2012,35,1,271
2012,40,1,283
2012,45,1,374
2012,50,1,359
2012,55,1,432
2012,60,1,291
2012,65,1,258
2012,70,1,209
2012,75,1,152
2012,80,1,66
2012,85,1,48
2012,0,2,353
2012,5,2,328
2012,10,2,350
2012,15,2,358
2012,20,2,438
2012,25,2,279
2012,30,2,322
2012,35,2,270
2012,40,2,359
2012,45,2,410
2012,50,2,496
2012,55,2,394
2012,60,2,356
2012,65,2,300
2012,70,2,252
2012,75,2,169
2012,80,2,123
2012,85,2,130
2013,0,1,353
2013,5,1,331
2013,10,1,369
2013,15,1,347
2013,20,1,382
2013,25,1,312
2013,30,1,279
2013,35,1,257
2013,40,1,269
2013,45,1,344
2013,50,1,352
2013,55,1,415
2013,60,1,309
2013,65,1,259
2013,70,1,234
2013,75,1,161
2013,80,1,62
2013,85,1,48
2013,0,2,352
2013,5,2,340
2013,10,2,328
2013,15,2,333
2013,20,2,427
2013,25,2,304
2013,30,2,310
2013,35,2,271
2013,40,2,334
2013,45,2,395
2013,50,2,466
2013,55,2,400
2013,60,2,329
2013,65,2,325
2013,70,2,259
2013,75,2,176
2013,80,2,123
2013,85,2,130
2014,0,1,337
2014,5,1,328
2014,10,1,364
2014,15,1,319
2014,20,1,375
2014,25,1,330
2014,30,1,278
2014,35,1,245
2014,40,1,271
2014,45,1,298
2014,50,1,371
2014,55,1,385
2014,60,1,329
2014,65,1,266
2014,70,1,233
2014,75,1,157
2014,80,1,74
2014,85,1,54
2014,0,2,328
2014,5,2,343
2014,10,2,330
2014,15,2,324
2014,20,2,357
2014,25,2,336
2014,30,2,296
2014,35,2,266
2014,40,2,318
2014,45,2,379
2014,50,2,443
2014,55,2,419
2014,60,2,313
2014,65,2,340
2014,70,2,274
2014,75,2,178
2014,80,2,141
2014,85,2,125
2015,0,1,328
2015,5,1,332
2015,10,1,349
2015,15,1,307
2015,20,1,338
2015,25,1,339
2015,30,1,279
2015,35,1,261
2015,40,1,263
2015,45,1,267
2015,50,1,386
2015,55,1,349
2015,60,1,352
2015,65,1,268
2015,70,1,214
2015,75,1,167
2015,80,1,87
2015,85,1,54
2015,0,2,322
2015,5,2,355
2015,10,2,324
2015,15,2,307
2015,20,2,336
2015,25,2,355
2015,30,2,278
2015,35,2,295
2015,40,2,289
2015,45,2,371
2015,50,2,421
2015,55,2,410
2015,60,2,342
2015,65,2,336
2015,70,2,285
2015,75,2,180
2015,80,2,146
2015,85,2,130
2016,0,1,308
2016,5,1,327
2016,10,1,324
2016,15,1,324
2016,20,1,297
2016,25,1,358
2016,30,1,276
2016,35,1,267
2016,40,1,246
2016,45,1,271
2016,50,1,385
2016,55,1,339
2016,60,1,338
2016,65,1,291
2016,70,1,241
2016,75,1,149
2016,80,1,96
2016,85,1,58
2016,0,2,313
2016,5,2,351
2016,10,2,314
2016,15,2,308
2016,20,2,302
2016,25,2,363
2016,30,2,276
2016,35,2,311
2016,40,2,280
2016,45,2,346
2016,50,2,399
2016,55,2,428
2016,60,2,354
2016,65,2,331
2016,70,2,286
2016,75,2,220
2016,80,2,139
2016,85,2,142